waveform	Gen		Ch1	
t0	12.05.2019  14:37:05,139865		12.05.2019  14:37:05,139852	
delta t	8,000000E-5		8,000000E-5	

time[0]	Gen	time[1]	Ch1
12.05.2019  14:37:05,149625	2,842791E-3	12.05.2019  14:37:05,149612	1,542486E-3
12.05.2019  14:37:05,149705	3,167868E-3	12.05.2019  14:37:05,149692	1,867563E-3
12.05.2019  14:37:05,149785	3,167868E-3	12.05.2019  14:37:05,149772	1,867563E-3
12.05.2019  14:37:05,149865	2,517715E-3	12.05.2019  14:37:05,149852	2,517715E-3
12.05.2019  14:37:05,149945	2,842791E-3	12.05.2019  14:37:05,149932	2,192639E-3
12.05.2019  14:37:05,150025	3,167868E-3	12.05.2019  14:37:05,150012	2,517715E-3
12.05.2019  14:37:05,150105	3,167868E-3	12.05.2019  14:37:05,150092	1,542486E-3
12.05.2019  14:37:05,150185	3,818020E-3	12.05.2019  14:37:05,150172	2,192639E-3
12.05.2019  14:37:05,150265	2,517715E-3	12.05.2019  14:37:05,150252	1,217410E-3
12.05.2019  14:37:05,150345	2,842791E-3	12.05.2019  14:37:05,150332	1,867563E-3
12.05.2019  14:37:05,150425	3,492944E-3	12.05.2019  14:37:05,150412	2,192639E-3
12.05.2019  14:37:05,150505	3,167868E-3	12.05.2019  14:37:05,150492	1,867563E-3
12.05.2019  14:37:05,150585	2,842791E-3	12.05.2019  14:37:05,150572	8,923338E-4
12.05.2019  14:37:05,150665	3,818020E-3	12.05.2019  14:37:05,150652	1,217410E-3
12.05.2019  14:37:05,150745	3,167868E-3	12.05.2019  14:37:05,150732	1,867563E-3
12.05.2019  14:37:05,150825	3,492944E-3	12.05.2019  14:37:05,150812	1,867563E-3
12.05.2019  14:37:05,150905	2,842791E-3	12.05.2019  14:37:05,150892	1,542486E-3
12.05.2019  14:37:05,150985	3,167868E-3	12.05.2019  14:37:05,150972	2,192639E-3
12.05.2019  14:37:05,151065	3,492944E-3	12.05.2019  14:37:05,151052	1,542486E-3
12.05.2019  14:37:05,151145	2,842791E-3	12.05.2019  14:37:05,151132	1,867563E-3
12.05.2019  14:37:05,151225	3,167868E-3	12.05.2019  14:37:05,151212	1,217410E-3
12.05.2019  14:37:05,151305	2,842791E-3	12.05.2019  14:37:05,151292	1,542486E-3
12.05.2019  14:37:05,151385	3,492944E-3	12.05.2019  14:37:05,151372	1,542486E-3
12.05.2019  14:37:05,151465	2,842791E-3	12.05.2019  14:37:05,151452	1,867563E-3
12.05.2019  14:37:05,151545	3,167868E-3	12.05.2019  14:37:05,151532	1,867563E-3
12.05.2019  14:37:05,151625	3,167868E-3	12.05.2019  14:37:05,151612	1,867563E-3
12.05.2019  14:37:05,151705	3,492944E-3	12.05.2019  14:37:05,151692	1,217410E-3
12.05.2019  14:37:05,151785	2,842791E-3	12.05.2019  14:37:05,151772	1,542486E-3
12.05.2019  14:37:05,151865	3,492944E-3	12.05.2019  14:37:05,151852	1,867563E-3
12.05.2019  14:37:05,151945	3,492944E-3	12.05.2019  14:37:05,151932	1,542486E-3
12.05.2019  14:37:05,152025	3,492944E-3	12.05.2019  14:37:05,152012	1,867563E-3
12.05.2019  14:37:05,152105	3,167868E-3	12.05.2019  14:37:05,152092	1,867563E-3
12.05.2019  14:37:05,152185	3,167868E-3	12.05.2019  14:37:05,152172	1,542486E-3
12.05.2019  14:37:05,152265	2,842791E-3	12.05.2019  14:37:05,152252	1,867563E-3
12.05.2019  14:37:05,152345	3,492944E-3	12.05.2019  14:37:05,152332	1,217410E-3
12.05.2019  14:37:05,152425	3,492944E-3	12.05.2019  14:37:05,152412	1,217410E-3
12.05.2019  14:37:05,152505	3,167868E-3	12.05.2019  14:37:05,152492	1,867563E-3
12.05.2019  14:37:05,152585	3,167868E-3	12.05.2019  14:37:05,152572	1,867563E-3
12.05.2019  14:37:05,152665	2,842791E-3	12.05.2019  14:37:05,152652	1,217410E-3
12.05.2019  14:37:05,152745	2,842791E-3	12.05.2019  14:37:05,152732	1,542486E-3
12.05.2019  14:37:05,152825	3,167868E-3	12.05.2019  14:37:05,152812	1,542486E-3
12.05.2019  14:37:05,152905	3,492944E-3	12.05.2019  14:37:05,152892	8,923338E-4
