waveform	Gen		Ch1	
t0	12.05.2019  14:37:57,033857		12.05.2019  14:37:57,033845	
delta t	8,000000E-5		8,000000E-5	

time[0]	Gen	time[1]	Ch1
12.05.2019  14:37:57,042817	2,517715E-3	12.05.2019  14:37:57,042805	1,867563E-3
12.05.2019  14:37:57,042897	3,492944E-3	12.05.2019  14:37:57,042885	1,867563E-3
12.05.2019  14:37:57,042977	3,492944E-3	12.05.2019  14:37:57,042965	1,867563E-3
12.05.2019  14:37:57,043057	3,492944E-3	12.05.2019  14:37:57,043045	8,923338E-4
12.05.2019  14:37:57,043137	2,517715E-3	12.05.2019  14:37:57,043125	1,867563E-3
12.05.2019  14:37:57,043217	2,842791E-3	12.05.2019  14:37:57,043205	1,867563E-3
12.05.2019  14:37:57,043297	3,818020E-3	12.05.2019  14:37:57,043285	1,542486E-3
12.05.2019  14:37:57,043377	2,842791E-3	12.05.2019  14:37:57,043365	1,542486E-3
12.05.2019  14:37:57,043457	3,492944E-3	12.05.2019  14:37:57,043445	1,542486E-3
12.05.2019  14:37:57,043537	3,167868E-3	12.05.2019  14:37:57,043525	1,867563E-3
12.05.2019  14:37:57,043617	2,842791E-3	12.05.2019  14:37:57,043605	1,867563E-3
12.05.2019  14:37:57,043697	2,842791E-3	12.05.2019  14:37:57,043685	1,867563E-3
12.05.2019  14:37:57,043777	3,167868E-3	12.05.2019  14:37:57,043765	1,867563E-3
12.05.2019  14:37:57,043857	3,492944E-3	12.05.2019  14:37:57,043845	2,192639E-3
12.05.2019  14:37:57,043937	2,842791E-3	12.05.2019  14:37:57,043925	1,867563E-3
12.05.2019  14:37:57,044017	3,167868E-3	12.05.2019  14:37:57,044005	1,867563E-3
12.05.2019  14:37:57,044097	3,492944E-3	12.05.2019  14:37:57,044085	1,867563E-3
12.05.2019  14:37:57,044177	3,818020E-3	12.05.2019  14:37:57,044165	2,192639E-3
12.05.2019  14:37:57,044257	3,167868E-3	12.05.2019  14:37:57,044245	1,867563E-3
12.05.2019  14:37:57,044337	3,167868E-3	12.05.2019  14:37:57,044325	1,542486E-3
12.05.2019  14:37:57,044417	3,167868E-3	12.05.2019  14:37:57,044405	8,923338E-4
12.05.2019  14:37:57,044497	2,517715E-3	12.05.2019  14:37:57,044485	1,542486E-3
12.05.2019  14:37:57,044577	2,842791E-3	12.05.2019  14:37:57,044565	1,217410E-3
12.05.2019  14:37:57,044657	3,492944E-3	12.05.2019  14:37:57,044645	1,867563E-3
12.05.2019  14:37:57,044737	3,818020E-3	12.05.2019  14:37:57,044725	1,542486E-3
12.05.2019  14:37:57,044817	3,167868E-3	12.05.2019  14:37:57,044805	1,217410E-3
12.05.2019  14:37:57,044897	3,492944E-3	12.05.2019  14:37:57,044885	1,867563E-3
12.05.2019  14:37:57,044977	2,842791E-3	12.05.2019  14:37:57,044965	1,867563E-3
12.05.2019  14:37:57,045057	3,167868E-3	12.05.2019  14:37:57,045045	1,867563E-3
12.05.2019  14:37:57,045137	2,842791E-3	12.05.2019  14:37:57,045125	2,517715E-3
12.05.2019  14:37:57,045217	2,517715E-3	12.05.2019  14:37:57,045205	1,542486E-3
12.05.2019  14:37:57,045297	2,517715E-3	12.05.2019  14:37:57,045285	1,542486E-3
12.05.2019  14:37:57,045377	2,842791E-3	12.05.2019  14:37:57,045365	2,192639E-3
12.05.2019  14:37:57,045457	3,167868E-3	12.05.2019  14:37:57,045445	2,192639E-3
12.05.2019  14:37:57,045537	2,842791E-3	12.05.2019  14:37:57,045525	1,217410E-3
12.05.2019  14:37:57,045617	3,492944E-3	12.05.2019  14:37:57,045605	1,867563E-3
12.05.2019  14:37:57,045697	3,492944E-3	12.05.2019  14:37:57,045685	1,867563E-3
12.05.2019  14:37:57,045777	2,842791E-3	12.05.2019  14:37:57,045765	1,542486E-3
12.05.2019  14:37:57,045857	2,842791E-3	12.05.2019  14:37:57,045845	2,192639E-3
12.05.2019  14:37:57,045937	3,167868E-3	12.05.2019  14:37:57,045925	1,867563E-3
